1, Good Luck Restaurant, 50 Anderson Ave, +15853406161, $$$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/OPyOsQOm2FWE_AUYxqKTJg/o.jpg
2, The Vesper, 1 Capron St, +15854541996, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/nhIhtTm5x1XU7i3uHW4GqA/o.jpg
3, The Owl House, 75 Marshall St, +15853602920, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/l8hPjesnjotDYw6stYKxEg/o.jpg
4, Avvino, 2541 Monroe Ave, +15852705229, $$$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/-mROGu4IgWsuCATISDItmQ/o.jpg
5, Nosh, 47 Russell St, +15854458700, $$$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/TPrz4bFvPNUCE4nyl1NsFA/o.jpg
6, Cure, 50 Public Market St, +15855637941, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/6IEpAZXg7fEq8fs6FjWM9Q/o.jpg
7, Tap and Mallet, 381 Gregory St, +15854730503, $$, 1, https://s3-media4.fl.yelpcdn.com/bphoto/lTMgqyuWHq_2uV5kDXBPAw/o.jpg
8, ORBS Restaurant & Bar, 758 South Ave, +15854718569, $$, 1, https://s3-media4.fl.yelpcdn.com/bphoto/pqvlReY3WQ3u3bxClvjs6w/o.jpg
9, Mediterranean Kebab House, 3047 West Henrietta Rd, +15854175713, $, 1, https://s3-media3.fl.yelpcdn.com/bphoto/73el9qdL10iLH0zjw6DjAg/o.jpg
10, The French Quarter, 130 Spring St, +15859876432, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/dw_CShSrBR-QN0Ql8EBV1Q/o.jpg
11, Fiorella, 5 Public Market, +15854345705, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/RRMnSdnibXl4z0-X6FFV8w/o.jpg
12, The Gate House, 274 Goodman St N, +15854732090, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/56SlBzDdx68G3OWqmX8qFw/o.jpg
13, Tapas 177 Lounge, 177 Saint Paul St, +15852622090, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/bM9R1BMuchpjMajJYLaCIg/o.jpg
14, Coco Garden, 420 Jefferson Rd, +15852720001, $$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/buoPZdVN10QahDoJVSnJUw/o.jpg
15, Ox and Stone, 282 Alexander St, +15852876933, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/MSHc6DAEvz3zE93hkiZlnA/o.jpg
16, The Cub Room, 739 S Clinton Ave, +15853635694, $$$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/Mlq_CivojF6ZkCGWGpQVFg/o.jpg
17, Cedar Mediterranean Restaurant, 746 Monroe Ave, +15854427751, $, 1, https://s3-media3.fl.yelpcdn.com/bphoto/nYpUsW4BPPwPkXNuLHdh_w/o.jpg
18, The Revelry, 1290 University Ave, +15853406454, $$$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/hBT4DFRN3BoU47065YV3zQ/o.jpg
19, ButaPub, 315 Gregory St, +15855636241, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/mCu4aYlqqDE60y8zWaUOAg/o.jpg
20, Tsingtao House, 2831 W Henrietta Rd, +15852728008, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/pxkrnmyx3WnOQ-rSbwTA4g/o.jpg
21, Dinosaur Bar-B-Que, 99 Court St, +15853257090, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/4ANKwBch47I20V9Im1jE-Q/o.jpg
22, Sumo Japanese Sushi & Hibachi, 1600 W Ridge Rd, +15854916378, $$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/-i9QaxfpiphqrOQEUIQcCQ/o.jpg
23, Tai Chi Bubble Tea, 3300 W Henrietta Rd, +15852708130, $, 1, https://s3-media4.fl.yelpcdn.com/bphoto/5O1UND4Xx5AW2-z_BOhFCQ/o.jpg
24, Mamma G's, 2133 East Henrietta Rd, +15853580488, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/IrUAii19awINQWc05wiVYw/o.jpg
25, Empanada Shop, 642 Monroe Ave, +15854343937, $, 1, https://s3-media3.fl.yelpcdn.com/bphoto/So5yQCe-4IydFnVq5Hsndg/o.jpg
26, The Penfield Pour House, 1665 Penfield Rd, +15852641665, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/Ga_79l4xHv6FqcUPEwyLuA/o.jpg
27, Cocina Latina, 2960 Dewey Ave, +15852869556, $, 1, https://s3-media4.fl.yelpcdn.com/bphoto/CHRvDH7FBTbHu-qNQoIoVQ/o.jpg
28, South Wedge Sub and Hots, 492 Monroe Ave, +15855461530, $, 1, https://s3-media3.fl.yelpcdn.com/bphoto/72wJQUK9xBYdh4YQ7NixlA/o.jpg
29, Texas De Brazil, 22 Celebration Dr, +15854732013, $$$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/RWhjPFC3lmSKN7ULMOC8vA/o.jpg
30, Bacco's Ristorante, 263 Park Ave, +15854425090, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/enQGo_BMVYpj426WqdicLQ/o.jpg
31, American Burger Bar And Beer Boutique, 3208 Latta Rd, +15857305987, $$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/Jo7LectHZmspu-hxpOZJSg/o.jpg
32, Leaf & Bean, 3240 Chili Ave, +15858898270, $, 1, https://s3-media3.fl.yelpcdn.com/bphoto/JZPk3yjDRhOC5mZbpEEfoQ/o.jpg
33, Rocco, 165 Monroe Ave, +15854543510, $$$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/LEUznw6MNihJHBB2Cn9vyg/o.jpg
34, ROUX, 688 Park Ave, +15854612960, $$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/NO-6K6g2CcEVuVLTnLecmw/o.jpg
35, Lento Restaurant, 274 Goodman St N, +15852713470, $$$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/ItpL92U5XlBcKeDT6O396w/o.jpg
36, The Speakeasy, 3001 Monroe Ave, +15853489103, $$$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/w4YzDsnhIca-pAJ13WJQSQ/o.jpg
37, Tavern58 At Gibbs, 58 University Ave, +15855465800, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/4n8eIHEZKRVC-PxQPyjSaw/o.jpg
38, Charley Brown's Restaurant, 1675 Penfield Rd, +15853859202, $$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/HrQnHSPKgj0xc0s9ARYqyQ/o.jpg
39, As Evi Turkish Cuisine, 315 E Ridge Rd, +15855440101, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/9JCj17pZYkk0O4JL2UpGGg/o.jpg
40, Itacate, 3095 Buffalo Rd, +15855634374, $, 1, https://s3-media4.fl.yelpcdn.com/bphoto/-vQTkGb9a7_d-DiuhfdIhA/o.jpg
41, Blue Ridge Grill, 3400 West Ridge Rd, +15852259440, $, 1, https://s3-media2.fl.yelpcdn.com/bphoto/Jj0IEh4KKxwELFipfFH7Jg/o.jpg
42, Han Noodle Bar, 687 Monroe Ave, +15852427333, $, 1, https://s3-media4.fl.yelpcdn.com/bphoto/PyN6HnyHixVNnKXPkb2K1A/o.jpg
43, Sodam Korean Restaurant, 900 Jefferson Rd, +15854759810, $$, 1, https://s3-media4.fl.yelpcdn.com/bphoto/nBR4AIPgCQbSaNq5LX19JQ/o.jpg
44, Michael's Valley Grill, 1694 Penfield Rd, +15853838260, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/y5PiJonrtGfmM63_hcrJ8Q/o.jpg
45, Black & Blue Steak and Crab, 3349 Monroe Ave, +15854218111, $$$, 1, https://s3-media3.fl.yelpcdn.com/bphoto/PFRRb-TcWBsWv24vlEjmWw/o.jpg
46, D'Mangu Restaurant, 1475 E Henrietta Rd, +15854242200, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/FhEc0oSsBJvDsJtsRIigJg/o.jpg
47, Bernard's Grove, 187 Long Pond Rd, +15852276405, $$, 1, https://s3-media2.fl.yelpcdn.com/bphoto/jHGoohWHE76YUPuVHtkR5Q/o.jpg
48, Bar Louie, 98 Greece Ridge Center Dr, +15857971054, $$, 1, https://s3-media4.fl.yelpcdn.com/bphoto/_eQgMxz9U2jrf44yyzx8iQ/o.jpg
49, The Daily Refresher, 293 Alexander St, +15853604627, $$, 1, https://s3-media1.fl.yelpcdn.com/bphoto/WNzYlWRyzbimNnrwOMu1ZA/o.jpg
50, King & I Restaurant, 1455 E Henrietta Rd, +15854278090, $$, 1, https://s3-media4.fl.yelpcdn.com/bphoto/C_KyAColiBuEchTkaWoHiA/o.jpg
