1, White Pizza, 15, https://s3-media3.fl.yelpcdn.com/bphoto/aK6PFsXaWU4BNRmo8s78vQ/o.jpg
1, Margherita Pizza, 13, https://s3-media4.fl.yelpcdn.com/bphoto/jWwYKh_usBM0zZIFT-cIQQ/o.jpg
1, Berbere-Spiced Cabbage, 17, Null
1, Braised Oxtail, 14, Null
1, Fennel Sausage, 17, Null
1, Filet of Sole, 30, Null
1, House-Made Fettuccine, 21, Null
1, Squid Ink Calamarata, 22, Null
1, Cumin-Braised Lamb Shank, 28, https://s3-media3.fl.yelpcdn.com/bphoto/ZpqCaj0e5JNP1Q-nwsO1Rg/o.jpg
2, Tipped Bacon, 6, Null
2, Fried Oysters, 8, Null
2, Jar of Pickles, 5, Null
2, Cheese Stuffed Olives, 5.5, Null
2, Chips & Dip, 6, Null
2, Corn Fritters, 7, Null
2, Pan Seared Scallops, 12, Null
2, Grilled Cheese Bites, 7, Null
2, Charcuterie, 14, Null
2, Vesper Wings, 8, Null
3, Classic Burger, 12, Null
3, Ultimate Pot Roast, 13, Null
3, Roast Cauliflower, 10, Null
3, B.V.E Burger, 12, Null
3, Beetwich, 11, Null
3, Chicken Sammy, 12, Null
4, Farmer's Flatbread, 10, Null
4, Milk & Honey, 8, Null
4, Cuban Sliders, 11, Null
4, Coconut Fried Shrimp, 12, Null
4, Ceviche, 11, https://s3-media2.fl.yelpcdn.com/bphoto/GnrcDgITAg7fp2FxPyfM6A/o.jpg
4, Simple Field Green Salad, 6, https://s3-media4.fl.yelpcdn.com/bphoto/eCOx--FG1wS4_nuWCFhrdg/o.jpg
4, Buckwheat Cavatelli, 21, https://s3-media1.fl.yelpcdn.com/bphoto/NfgSmBDvUKSbeu1skQxNHQ/o.jpg
4, Crab Lasagna, 26, https://s3-media1.fl.yelpcdn.com/bphoto/0cpAwKM3RiKSroZcMqFp5w/o.jpg
4, 8oz Filet Mignon, 42, https://s3-media2.fl.yelpcdn.com/bphoto/o4HZrRVuIP4yCqziOxrE2A/o.jpg
5, Chichen Tortilla Soup, 8, Null
5, Calabaza, 10, Null
5, Pom Pom, 10, Null
5, Crispy Wangs, 12, Null
5, Caulifritters, 10, Null
5, Ahi Noshos, 14, Null
5, Hot Buns, 12, Null
6, Pickles Maison, 5, Null
6, Brandade, 8, Null
6, Duck Rillette, 8, Null
6, Foie Gras-Bone Marrow Toasts, 15, Null
6, Beef Tartare, 13, Null
6, Camembert Roti, 15, Null
6, Brussels Sprout Tart, 14, Null
6, Roasted Cauliflower Salad, 14, Null
6, Veal Blanquette, 28, Null
7, Sesame Tempeh Ginger Salad, 13, Null
7, House Salad, 9, Null
7, Greek Salad, 10, Null
7, Caesar Salad, 9, Null
